iter	Passed	Remaining
0	904	89587
1	1929	94532
2	2822	91262
3	3655	87738
4	4483	85189
5	5257	82374
6	6012	79881
7	6698	77027
8	7439	75217
9	8173	73565
10	8935	72299
11	9757	71556
12	10787	72193
13	11884	73003
14	12736	72170
15	13543	71104
16	14323	69934
17	15130	68925
18	15914	67846
19	16661	66644
20	17427	65560
21	18165	64403
22	18973	63520
23	19727	62470
24	20569	61707
25	21431	60996
26	22204	60034
27	22905	58899
28	23569	57705
29	24206	56481
30	24993	55631
31	25806	54838
32	26537	53878
33	27249	52896
34	27993	51987
35	28786	51176
36	29436	50120
37	30126	49154
38	30790	48160
39	31452	47178
40	32145	46258
41	32876	45401
42	33565	44494
43	34237	43575
44	34967	42738
45	35773	41995
46	36467	41122
47	37191	40291
48	37843	39388
49	38528	38528
50	39185	37648
51	39859	36792
52	40548	35957
53	41242	35132
54	41927	34304
55	42700	33550
56	43395	32737
57	44093	31930
58	44765	31108
59	45437	30291
60	46119	29486
61	46809	28689
62	47475	27882
63	48175	27098
64	48874	26317
65	49567	25534
66	50243	24746
67	50945	23974
68	51618	23191
69	52320	22422
70	53022	21657
71	53742	20899
72	54422	20128
73	55120	19366
74	55804	18601
75	56531	17852
76	57242	17098
77	57940	16342
78	58667	15595
79	59378	14844
80	60077	14092
81	60768	13339
82	61485	12593
83	62211	11849
84	62969	11112
85	63717	10372
86	64437	9628
87	65141	8882
88	65904	8145
89	66633	7403
90	67368	6662
91	68123	5923
92	68852	5182
93	69595	4442
94	70324	3701
95	71035	2959
96	71787	2220
97	72631	1482
98	73436	741
99	74264	0
